login_userName,Mosebedisi,"User Name"
common_msg_orgUnitSaved,"Mokhatlo yuniti e pholositse","Organisation Unit is saved"
searchResult_msg_matchFor,"bareki le","clients with"
clientEntryForm_msg_saveDataFail,"Pholosa ya data hlōleha. Ka kōpo botsa ya data ka sebōpeho","Save data fail. Please check the data in form."
common_validation_valueNumber,"Boleng ba lokela ho 'maloa","The value should be a number"
clientEntryForm_msg_aksForCompletingEvent,"Na ehlile u batla ho phethoa ketsahalo ee?","Are you sure you want to completed this event?"
common_validation_exactLength,"Ka kopo, kenya hantle feela","Please enter exactly"
common_validation_exactCharacter,"batho bao ho buuoang",characters
common_validation_valueMax,"Boleng lokela ho tlase kapa lekanang le","The value should be less than or equal to"
settings_rowHeader_hideFieldHIVTestLoginAction,"Pata Masimo ""HIV Mamella Teko"" tlhalohanyo nke khato e molemo","Hide Fields ""HIV Test"" logic action"
common_msg_settingsHideLogicActionFieldsSaved,"Pata Fields ""HIV Mamella Teko"" tlhalohanyo nke khato e molemo bo pholositsoe","Hide Fields ""HIV Test"" logic action is saved"
dataEntryForm_tab_btn_createClient,"Bopa ya sedirelwa","Create Client"
dataEntryForm_tab_btn_editClient,"Edita sedirelwa","Edit Client"
dataEntryForm_tab_btn_createEvent,"Bopa Ketsahalo","Create Event"
dataEntryForm_tab_btn_editEvent,"Edita ketsahalo","Edit Event"
clientEntryForm_msg_creatingEmptyEvent,"Bōpa ketsahalo ea lefeela","Creating empty event"
searchClient_msg_searching,"Ho batla",Searching
clientEntryForm_msg_completingEvent,"Tlatsa ketsahalo","Completing event"
clientEntryForm_msg_eventCompleted,"Ketsahalo e phethoa","Event is completed"
allCaseList_msg_clickToOpenEditForm,"Penya ho bula 'Sedirelwa Edita' foromo","Click to open Client Edit form"
positiveCaseList_msg_clickToOpenEditForm,"Penya ho bula 'Sedirelwa Edita' foromo","Click to open Client Edit form"
statistics_reportClientResult_btn_back,Matha,Run
statistics_searchResult_headerTitle,"Siyo lenaneng ya sedirelwa le CUIC","Client list with CUIC"
statistics_reportClientResult_btn_back,Morao,Back
report_msg_loadingEvent,"Play ketsahalo","Loading event"
statistics_eventReport_btn_back,Morao,Back
statistics_btn_run,Matha,Run
common_validation_valueLetter,"Boleng lokela ho lengolo le","The value should be a letter"
dataEntryForm_tab_previousTests_msg_by,,by
